RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
60;23.67;4.42;20.25;24.67;70.33;9.5;64.08;73.58;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;-;A;A;A;A;A;A;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;H;H;H;H;H;A;A;A;A;A;A;A;-;A;A;A;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B
61;17.58;2.36;12.18;14.55;59.83;11.33;57;68.33;;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;A
62;19.08;3.75;13.92;17.67;57.67;10.83;55.33;66.17;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
63;25.17;3.92;23.58;27.5;78.33;10.83;61.42;72.25;;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;-;A
64;25.67;3.75;23;26.75;86.2;11.43;59.57;71;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A
65;16.5;3.25;10.58;13.83;48.58;8.64;38.82;47.45;;B;-;A;A;A;A;H;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;-;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;H;H;H;A;A;A;A;A;A;A;A;H;A;A;A;A;-;H;H;-;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B
66;17.42;2.75;10.92;13.67;51.5;10;51.17;61.17;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;H;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;B;B
67;18.75;3.83;14.83;18.67;63.33;14.67;65.25;79.92;;B;B;B;B;B;-;B;B;B;-;B;B;B;-;B;H;B;B;B;B;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;-;A;A;A;A;H;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;B;A;A;A;-;A;A;A;A;B;-;B;B;H;B;B;H;H;H;H;H
68;17;2.58;10.58;13.17;53.33;11.08;46.58;57.67;;A;A;A;A;A;A;-;A;A;A;A;A;A;B;B;-;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;-;H;H;H;H;H;H;B;A;B;B;-;-;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;-;B;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
69;17.25;3.17;10.92;14.08;55.83;11.45;51.83;62.33;;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;-;B;H;H;H;H;H;H;H;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;-;A;A;-;A;A;A;A;A;H;A;-;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;-;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;-;A;H;A;A;H;A;A;A;A;A;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A
70;17.92;3.08;11.33;14.42;63.92;12.58;57.83;70.42;;A;-;A;A;A;A;A;A;-;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;H;H;H;-;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;-;A;A;-;A;A;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;A;B;B;-;B;B;B;H;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A
71;22.45;3.82;17.09;20.91;84.18;12.91;71.91;84.82;;A;-;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;H;-;-;A;-;-;A;-;B;B;B;B;-;B;B;B;-;-;H;B;B;B;B;B;B;B;-;-;H;-;B;B;B;B;-;B;B;B;B;-;H;B;B;B;B;-;B;B;-;A;A;A;A;A;-;A;A;-;H;-;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;B;-;B;H;B;B;H;H;B;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;-;B;B;B;-;H;-;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;-
72;17.33;3;10;13;50.08;9.5;39.75;49.25;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;A;-;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
73;22.17;4.33;18.75;23.08;51;7.75;44.25;52;;A;A;A;-;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;A;-;A;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;H;A;A;H;A;-;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;-;A;A;A;A;-;B;B;-;B;H;B;B;B;B;B;-;B;-;H;B;H;B;B;B;B;B;B;-;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;B;B;H;B;H;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;-;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;H;B;B;A;A;B
74;22.83;4;18.58;22.58;63.27;11.09;55.82;66.91;;A;A;A;H;-;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;A;H;H;-;-;-;-;-;-;-;H;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;H;H;A;A;A;-;A;A;A;A;A;A;-;-;A;A;A;A;A;A;A;A;A;-;A;A;H;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;-;H;H;H;A;A;H;-;A;-;-;A;-;-;-;-;H;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;-;-;-;B;A;H;-;A;A;A;H;B;B;B;B;B
75;18.42;2.75;10.92;13.67;56.25;8.42;45.5;53.92;;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;-;-;A;A;A;A;A;B;B;B;B;B;B;B;-;B;B;H;H;H;A;A;-;B;B;B;B;B;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;H;H;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;A;A;A;A;-;A;A;B;B;A
76;18.92;2.92;12.42;15.33;68;13.67;60;73.67;;H;H;H;H;H;H;H;-;-;-;H;H;H;-;H;A;-;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;H;H;B;B;-;-;H;-;H;H;H;-;B;H;H;-;H;H;H;H;-;H;H;-;H;H;H;H;B;-;H;H;H;H;A;-;H;-;-;A;A;A;A;A;A;H;H;H;-;H;H;H;-;B;H;H;B;H;H;H;H;-;B;H;-;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;H;H;H;-;A;-;-;-;-;H;A;A;A;A;A;A;H;H;H;-;H;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;-;H;H;-;A
77;24.25;3.33;14.5;17.83;70.08;10.17;48.42;58.58;;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;H;B;B;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A
78;20.17;2.75;12.17;14.92;67;11.67;54.83;66.5;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;B;B;H;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B
79;16.67;3.5;10.17;13.67;57.5;13.83;49.67;63.5;;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;A;A;A;A;-;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;H;H;H;H;A;A;A;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;H;A;A;-;H;H;H;A;A;A;A;A;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A
80;17.58;2.58;10.33;12.92;55.5;10;50.83;60.83;;A;-;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;B;B;B;H;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;B;B
81;19;3.42;13.75;17.17;56.67;12.33;52.75;65.08;;A;-;A;H;H;-;H;H;-;H;A;A;A;A;A;A;A;A;A;A;A;H;H;A;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;B;-;H;H;H;H;H;H;H;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;-;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;B;B;B;A;A;-;A;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B
82;18.67;2.92;12.17;15.08;65;15.33;55.33;70.67;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A
83;34.17;5.75;30.5;36.25;94.67;7;65;72;;A;-;A;A;A;-;H;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;-;H;H;H;H;H;H;-;B;B;B;A;-;A;A;A;A;A;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;-;A;A;A;B;H;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;-;-;-;A;-;B;B;B;H;B;-;B;B;B;B;A;A;A;-;A;A;A;A;B;-;A;A;A;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;A;A;A
84;19.58;3.5;13.33;16.83;59;11.17;55.33;66.5;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A
85;24;5.18;22.64;27.82;74.91;10.89;57.44;68.33;;B;B;B;B;B;B;-;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;B;B;H;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A
86;16.5;3.33;11.17;14.5;52;9.36;47.73;57.09;;B;B;B;B;-;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;-;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B
87;15.67;2.75;9.75;12.5;51.5;9.75;48.75;58.5;;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;H;H;H;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;H;A;A;B;B;B;B;B;B;B;B;B
88;22.83;5.5;20;25.5;78.33;13.4;67.3;80.7;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;A;A;A;A;A;H;H;H;H;H;A;A;B;B;B;B;A;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A
89;24.92;5.33;20.92;26.25;103.5;9;86;95;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;H;H;H;H;A;A;A;A;A;A;A;A;B;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
90;21.83;4.42;17.08;21.5;89.3;11.17;83.83;95;;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;B;B;B;B;B;B;A;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;H;H;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;A;A;A;A;B;B;B;B;B;B;A;A;A;-;A;-;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
91;22.25;5.17;19.17;24.33;84.36;17.13;66.5;83.63;;B;-;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A
92;22.08;4;14;18;72.45;10.44;54.33;64.78;;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;-;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;H;A;A
